c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
1.1,220,0.0001,0.28752211999697086,8.767268366215154,0.09710444529658523,-8.55820710577393,8.886998212773737
1.25,250,0.0001,0.1322509680163365,3.8001803334374484,0.06784170537895597,-4.029069309181443,3.948993299500703
1.5,300,0.0001,0.24399398459590058,1.7038789743935925,0.18692171091045173,-1.5436844233916323,2.211399987997626
2.0,400,0.0001,0.061561944028922524,1.0944162121167416,0.05884655816678222,-1.0417863512047243,1.2171660627477552
3.0,600,0.0001,0.023588403884588452,0.6139276560954646,0.03010509183237518,-0.6289208313927659,0.6695622977364782
5.0,1000,0.0001,0.03168842784542858,0.3050350100194698,0.05737541623800897,-0.22907001693729043,0.36058253490368836
7.0,1400,0.0001,0.0619242673614105,0.22961396417107877,0.12922951928054047,-0.10899116629801553,0.24857645230373923
10.0,2000,0.0001,0.04705410349601004,0.14510022423800908,0.1235274458173157,-0.07555223472437388,0.17519101373023593
0.5,100,0.0003,-0.06639505450469786,1.0978343342959107,-0.06336760997747776,-1.2748444720740457,1.1085116530359231
0.75,150,0.0003,0.18037743408010304,2.714342621807175,0.10948380224883157,-2.714544435873219,3.245469365680235
0.9,180,0.0003,0.3107118542668543,5.002648366101661,0.13891777986767462,-3.957005789249511,5.248377500286362
0.95,190,0.0003,0.32733784214982065,9.8796455371932,0.10414190880874374,-9.85269897900595,10.811525066055072
0.98,196,0.0003,0.17530066391211313,18.360070056514786,0.04091159334543493,-19.325106828946744,20.574355737305954
1.02,204,0.0003,0.27248356280902875,19.57379261653171,0.06158895252105962,-20.36295343803713,21.64750540043313
1.05,210,0.0003,0.35658978016596465,12.26270328461826,0.10183000901066216,-15.808894321133543,17.508261602345062
1.1,220,0.0003,0.2874604192298094,8.215880286096956,0.10028846944268383,-7.8433714600037945,7.983136813834635
1.25,250,0.0003,0.14215136148366822,3.8012345906981695,0.07291026677095552,-4.008495926422143,3.881471931746548
1.5,300,0.0003,0.2653254072764988,1.8006123170981525,0.1977282539160434,-1.55478024602359,2.2911976797259435
2.0,400,0.0003,0.06685116498424089,1.241790671583099,0.059990817946240976,-1.1827092607478618,1.3237365054163763
3.0,600,0.0003,0.031176343809035813,0.732156229301814,0.0364353798277283,-0.7629984009379558,0.7919051273105742
5.0,1000,0.0003,0.008701137083751144,0.4085252158050527,0.013613399101801073,-0.36865625147805914,0.46063008796862165
7.0,1400,0.0003,0.04492705548924997,0.3169791259004402,0.07979811347418253,-0.21559275810929787,0.32743427945463943
10.0,2000,0.0003,0.0425234791066417,0.2104355338495607,0.09269776252829695,-0.14516571989100022,0.24026967683551592
0.5,100,0.001,-0.06408412520275014,1.0570301231818808,-0.06233138517953224,-1.2255456300101886,1.0622604192563492
0.75,150,0.001,0.166234673621761,2.4636160227867077,0.1059095456872752,-2.489590615074998,2.9298402138484487
0.9,180,0.001,0.2655606721181396,3.3562769811623725,0.14495555462886198,-2.8297339351922006,3.8569006725562214
0.95,190,0.001,0.2793727076615341,5.882836666677084,0.11518358239262577,-5.961996408778286,6.492578207052769
0.98,196,0.001,0.1632311934189211,8.159089950285729,0.05714553399585996,-8.351261209112735,9.107089908958752
1.02,204,0.001,0.2765721487189807,8.214478917430514,0.09649802706271592,-8.357178729967607,9.148327195051381
1.05,210,0.001,0.2762561907655322,6.847228030513703,0.10557342801302554,-7.676294775409781,8.608916887486536
1.1,220,0.001,0.2876542358906521,6.577067436867054,0.11216429378138267,-5.7921268465904365,5.8274917148923695
1.25,250,0.001,0.15530622788703005,3.5421889865717953,0.08251881968622253,-3.541337283203759,3.542332022425547
1.5,300,0.001,0.2723467142202569,1.9154176604081163,0.19678427738050588,-1.5365855570744382,2.3179356395979323
2.0,400,0.001,0.06764248207033707,1.3514245055105851,0.05818668834386994,-1.340352729052396,1.4756472205719875
3.0,600,0.001,0.0421096463413442,0.8248145852748507,0.04636640538859053,-0.8567749257055596,0.9283729573968882
5.0,1000,0.001,-0.0066551571233347765,0.5507978840247472,-0.008967309961398847,-0.5042671971497523,0.5942862329088382
7.0,1400,0.001,0.027773551143567873,0.41778867288831945,0.042968785818438604,-0.3511286793582105,0.4294854115635511
10.0,2000,0.001,0.038434488631823784,0.32465644798250304,0.0674542147281149,-0.26047319254939727,0.34049058747635796
0.5,100,0.003,-0.057626983095814294,0.9459558863602936,-0.05925028475059439,-1.0950842316033047,0.9434597997146129
0.75,150,0.003,0.13765671357873363,1.9321926782201877,0.09903123177388211,-2.0107073004915827,2.265644080763532
0.9,180,0.003,0.20960454848670007,1.9125727543612943,0.15156248607586323,-1.7213109634142532,2.3082335462919286
0.95,190,0.003,0.22956842157314014,2.8845705544960585,0.13516727711499643,-2.8882440454271734,3.23706016591497
0.98,196,0.003,0.1042178277364647,2.8599653978520734,0.061625666218533465,-2.8939215952838797,3.072832270964638
1.02,204,0.003,0.18541580396298826,3.201331552551815,0.10362902713725224,-3.0568974268757017,3.255588516785627
1.05,210,0.003,0.17821350735930624,3.361794085131063,0.09719749294118975,-3.1120460738321736,3.4198929378048457
1.1,220,0.003,0.23781938506937345,4.400623688095128,0.1133679088180568,-3.5051061654442277,3.4675932383753656
