c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
1.1,220,0.1,0.12263410246093255,1.381186171051807,0.10434824428005449,-1.1073275719203803,1.2740766006797926
1.25,250,0.1,0.12345848694472647,1.2233495022965548,0.11162093994232682,-1.1243607894069962,1.2541135602671332
1.5,300,0.1,0.16684766522564756,0.940085592456877,0.17208239243034382,-0.8020559520084776,1.1499708607909491
2.0,400,0.1,0.04234045949629294,0.6863741242481303,0.051106379498295725,-0.6857874533148979,0.8199154658149463
3.0,600,0.1,0.018714487440750917,0.39407633634754136,0.02981176976379519,-0.44038423328147813,0.5028101390054545
5.0,1000,0.1,0.03379979533355354,0.23590218551386377,0.06959020058723349,-0.15523470416628588,0.26936555268282725
7.0,1400,0.1,0.062404644239726255,0.20286583617451684,0.13855188986329342,-0.06052705128675713,0.18072011994060852
10.0,2000,0.1,0.041057949567931386,0.13958401221832795,0.10989537571517796,-0.05848536452333231,0.12374763126895037
0.5,100,0.25,-0.03118502818871777,0.4277324870957679,-0.04768261034267527,-0.4935496986177651,0.4012199941500413
0.75,150,0.25,0.022142622335492766,0.48792222232522875,0.03169959791585632,-0.5726216001911703,0.559401714474546
0.9,180,0.25,0.05986856714440328,0.5404409148649943,0.08143756016386361,-0.5071789025419524,0.6108278619313161
0.95,190,0.25,0.06596351558195533,0.5738239202976079,0.08707920783626037,-0.520273022613541,0.6288400972142287
0.98,196,0.25,0.057893774862916816,0.6267401055670218,0.0731287457342757,-0.5665064364181831,0.64571519400171
1.02,204,0.25,0.05811278213703858,0.634613896271603,0.07294858611460976,-0.5772682035182757,0.6410554303344027
1.05,210,0.25,0.06853712910448098,0.6707525337378968,0.08368444644950519,-0.5906634809286484,0.6579495608414226
1.1,220,0.25,0.07844015554277237,0.7195619733459534,0.09247074234450735,-0.5792722431132716,0.6817625011861983
1.25,250,0.25,0.09124748279201672,0.7054460776263484,0.10863980590946874,-0.5902901225213394,0.7026579261736479
1.5,300,0.25,0.1154550490476114,0.591561203731831,0.15011119701547782,-0.46654450042793233,0.6958583471622489
2.0,400,0.25,0.02531150764506208,0.50828597514665,0.03550290993954019,-0.5058519993008666,0.5842926174800016
3.0,600,0.25,0.01807718340428444,0.3336360091284996,0.031296394346469344,-0.3605099360306241,0.416338736526667
5.0,1000,0.25,0.032658646342773795,0.2166800726510247,0.0701598567421766,-0.13972287992685023,0.2469741148732446
7.0,1400,0.25,0.060565914490201385,0.19208688067996071,0.13819089419422742,-0.05483902206826027,0.17117708614284446
10.0,2000,0.25,0.040325897059492286,0.1346989429392225,0.1098757729795904,-0.055027922932020024,0.11946006126026265
0.5,100,0.5,-0.02165642332916556,0.26967872944685206,-0.04170262430155277,-0.3103926419866193,0.2472948058288185
0.75,150,0.5,0.00879813612681266,0.30028046337193137,0.01605562213223597,-0.34508180721867254,0.32408557740508465
0.9,180,0.5,0.03971558861396784,0.338059043473638,0.06830692332819013,-0.2962184393663429,0.35821178776821594
0.95,190,0.5,0.0460889583182368,0.3476031760504248,0.07817268420711085,-0.29692460623352385,0.3697862680437491
0.98,196,0.5,0.041161987597721356,0.37092709988227396,0.06758527036681503,-0.32113972774294286,0.37784435246532055
1.02,204,0.5,0.03851922691228811,0.3790081616555412,0.06256814524333117,-0.3334653100274386,0.3755148981343594
1.05,210,0.5,0.04631964593861272,0.3973811733068277,0.07347872082747987,-0.33806489565690145,0.3834353905055749
1.1,220,0.5,0.0492615235836707,0.41268017027581405,0.07668334328528187,-0.33420316818811735,0.3939640164325507
1.25,250,0.5,0.0627381534669537,0.4251211669424674,0.09622221891147542,-0.3277627173054424,0.4126017182699051
1.5,300,0.5,0.07539254001598436,0.3720182753424179,0.12360790269786598,-0.27417433653073475,0.4196523571122224
2.0,400,0.5,0.012398871549689003,0.3625336168480305,0.020592449939828953,-0.3587284513795613,0.39536018796982025
3.0,600,0.5,0.017128290897303847,0.26604868185251646,0.03320729302090305,-0.27377295155252107,0.32255670430419286
5.0,1000,0.5,0.030958861995671123,0.19025192792415,0.07097746023268767,-0.11867625595261376,0.21626738794632816
7.0,1400,0.5,0.05776259535777392,0.17614988716905533,0.1376275927939252,-0.046532125308609604,0.15704887397900505
10.0,2000,0.5,0.03916910381410965,0.12714444164492733,0.10984870605121143,-0.049737206967275335,0.11282784148914307
0.5,100,1.0,-0.014130455540843806,0.14725669996385635,-0.03682295448463398,-0.171458108791445,0.13279356592681535
0.75,150,1.0,0.001239896836258847,0.16917367117406698,0.003014526908937888,-0.189707713411503,0.1702881875266148
0.9,180,1.0,0.024979740560493843,0.19257480414657407,0.05692305380671967,-0.15317336644945764,0.18944355416830655
0.95,190,1.0,0.03056614444538893,0.1937793071382535,0.06943636249476598,-0.14949611127859067,0.19658579334934487
0.98,196,1.0,0.026721702779244773,0.2027320798081801,0.05934756314644977,-0.16285054292225234,0.1998135791114325
1.02,204,1.0,0.022312130145427364,0.20855643450960357,0.04885727466940966,-0.17667287620088715,0.20032340640915042
1.05,210,1.0,0.027498648029692797,0.21675971461220508,0.059063891416647585,-0.17659844248144946,0.20357260837123567
